deg_u,deg_v,deg_min,deg_max,common_neighbors,jaccard,adamic_adar,same_pred_comm,boundary_u,boundary_v,cc_u,cc_v,tri_u,tri_v,mu_triad_part_u,mu_triad_part_v,y,attacker,category,instance,attack_id
5,8,5,8,0,0.0,0.0,0,3,5,0.1,0.07142857142857142,1,2,1,1,1,SA-Q,LFR,n200_s1,LFR__n200_s1__b51__SA-Q__k5
8,8,8,8,0,0.0,0.0,0,4,3,0.03571428571428571,0.03571428571428571,1,1,0,1,1,SA-Q,LFR,n200_s1,LFR__n200_s1__b51__SA-Q__k5
10,8,8,10,0,0.0,0.0,0,3,4,0.2222222222222222,0.03571428571428571,10,1,3,1,1,SA-Q,LFR,n200_s1,LFR__n200_s1__b51__SA-Q__k5
6,8,6,8,0,0.0,0.0,0,3,4,0.0,0.14285714285714285,0,4,0,1,1,SA-Q,LFR,n200_s1,LFR__n200_s1__b51__SA-Q__k5
5,14,5,14,0,0.0,0.0,0,4,5,0.1,0.04395604395604396,1,4,0,1,1,SA-Q,LFR,n200_s1,LFR__n200_s1__b51__SA-Q__k5
12,8,8,12,0,0.0,0.0,0,4,4,0.12121212121212122,0.14285714285714285,8,4,2,4,1,SA-Q,LFR,n200_s1,LFR__n200_s1__b51__SA-Q__k5
13,7,7,13,2,0.1111111111111111,0.6601895957526795,1,3,2,0.038461538461538464,0.19047619047619047,3,4,2,0,1,SA-Q,LFR,n200_s1,LFR__n200_s1__b51__SA-Q__k5
7,10,7,10,0,0.0,0.0,0,3,3,0.0,0.044444444444444446,0,2,0,0,0,SA-Q,LFR,n200_s1,LFR__n200_s1__b51__SA-Q__k5
8,14,8,14,1,0.047619047619047616,0.3789231816899512,0,4,4,0.0,0.21978021978021978,0,20,0,1,0,SA-Q,LFR,n200_s1,LFR__n200_s1__b51__SA-Q__k5
6,15,6,15,0,0.0,0.0,1,2,3,0.2,0.09523809523809523,3,10,0,3,0,SA-Q,LFR,n200_s1,LFR__n200_s1__b51__SA-Q__k5
5,7,5,7,0,0.0,0.0,0,3,3,0.0,0.0,0,0,0,0,0,SA-Q,LFR,n200_s1,LFR__n200_s1__b51__SA-Q__k5
10,15,10,15,0,0.0,0.0,0,4,4,0.17777777777777778,0.01904761904761905,8,2,1,2,0,SA-Q,LFR,n200_s1,LFR__n200_s1__b51__SA-Q__k5
10,7,7,10,1,0.0625,0.318928988903801,1,2,3,0.15555555555555556,0.0,7,0,2,0,0,SA-Q,LFR,n200_s1,LFR__n200_s1__b51__SA-Q__k5
9,9,9,9,0,0.0,0.0,0,4,3,0.027777777777777776,0.19444444444444445,1,7,0,1,0,SA-Q,LFR,n200_s1,LFR__n200_s1__b51__SA-Q__k5
7,8,7,8,0,0.0,0.0,0,3,5,0.047619047619047616,0.17857142857142858,1,5,1,0,0,SA-Q,LFR,n200_s1,LFR__n200_s1__b51__SA-Q__k5
9,8,8,9,0,0.0,0.0,0,2,5,0.1111111111111111,0.17857142857142858,4,5,0,0,0,SA-Q,LFR,n200_s1,LFR__n200_s1__b51__SA-Q__k5
11,9,9,11,1,0.05263157894736842,0.3789231816899512,0,2,2,0.21818181818181817,0.1111111111111111,12,4,1,0,0,SA-Q,LFR,n200_s1,LFR__n200_s1__b51__SA-Q__k5
6,7,6,7,1,0.08333333333333333,0.318928988903801,0,5,3,0.0,0.19047619047619047,0,4,0,1,0,SA-Q,LFR,n200_s1,LFR__n200_s1__b51__SA-Q__k5
6,5,5,6,0,0.0,0.0,0,3,2,0.26666666666666666,0.0,4,0,0,0,0,SA-Q,LFR,n200_s1,LFR__n200_s1__b51__SA-Q__k5
9,9,9,9,0,0.0,0.0,0,3,3,0.027777777777777776,0.08333333333333333,1,3,0,2,0,SA-Q,LFR,n200_s1,LFR__n200_s1__b51__SA-Q__k5
5,5,5,5,0,0.0,0.0,0,3,2,0.0,0.0,0,0,0,0,0,SA-Q,LFR,n200_s1,LFR__n200_s1__b51__SA-Q__k5
12,5,5,12,0,0.0,0.0,0,3,4,0.07575757575757576,0.1,5,1,4,0,0,SA-Q,LFR,n200_s1,LFR__n200_s1__b51__SA-Q__k5
8,6,6,8,0,0.0,0.0,0,4,3,0.10714285714285714,0.26666666666666666,3,4,1,0,0,SA-Q,LFR,n200_s1,LFR__n200_s1__b51__SA-Q__k5
12,8,8,12,1,0.05263157894736842,0.25694917118487537,0,4,4,0.09090909090909091,0.14285714285714285,6,4,1,2,0,SA-Q,LFR,n200_s1,LFR__n200_s1__b51__SA-Q__k5
7,8,7,8,0,0.0,0.0,0,3,4,0.14285714285714285,0.10714285714285714,3,3,1,1,0,SA-Q,LFR,n200_s1,LFR__n200_s1__b51__SA-Q__k5
14,5,5,14,0,0.0,0.0,0,4,2,0.14285714285714285,0.0,13,0,3,0,0,SA-Q,LFR,n200_s1,LFR__n200_s1__b51__SA-Q__k5
10,6,6,10,0,0.0,0.0,0,3,3,0.022222222222222223,0.06666666666666667,1,1,1,1,0,SA-Q,LFR,n200_s1,LFR__n200_s1__b51__SA-Q__k5
9,9,9,9,1,0.058823529411764705,0.5581106265512472,0,5,4,0.027777777777777776,0.05555555555555555,1,2,1,2,0,SA-Q,LFR,n200_s1,LFR__n200_s1__b51__SA-Q__k5
12,16,12,16,3,0.12,0.9787787617311632,1,2,3,0.24242424242424243,0.21666666666666667,16,26,1,0,0,SA-Q,LFR,n200_s1,LFR__n200_s1__b51__SA-Q__k5
8,23,8,23,1,0.03333333333333333,0.4170323914242463,0,3,5,0.07142857142857142,0.043478260869565216,2,11,2,0,0,SA-Q,LFR,n200_s1,LFR__n200_s1__b51__SA-Q__k5
8,8,8,8,2,0.14285714285714285,0.8079124461649567,0,4,3,0.03571428571428571,0.03571428571428571,1,1,0,0,0,SA-Q,LFR,n200_s1,LFR__n200_s1__b51__SA-Q__k5
15,7,7,15,0,0.0,0.0,0,3,4,0.13333333333333333,0.0,14,0,4,0,0,SA-Q,LFR,n200_s1,LFR__n200_s1__b51__SA-Q__k5
6,12,6,12,0,0.0,0.0,0,3,4,0.13333333333333333,0.09090909090909091,2,6,0,1,0,SA-Q,LFR,n200_s1,LFR__n200_s1__b51__SA-Q__k5
8,6,6,8,0,0.0,0.0,0,4,4,0.03571428571428571,0.0,1,0,1,0,0,SA-Q,LFR,n200_s1,LFR__n200_s1__b51__SA-Q__k5
14,11,11,14,1,0.041666666666666664,0.45511961331341866,1,5,4,0.04395604395604396,0.09090909090909091,4,5,2,2,0,SA-Q,LFR,n200_s1,LFR__n200_s1__b51__SA-Q__k5
7,9,7,9,0,0.0,0.0,1,3,4,0.0,0.1111111111111111,0,4,0,1,0,SA-Q,LFR,n200_s1,LFR__n200_s1__b51__SA-Q__k5
5,6,5,6,0,0.0,0.0,0,2,4,0.0,0.0,0,0,0,0,0,SA-Q,LFR,n200_s1,LFR__n200_s1__b51__SA-Q__k5
6,6,6,6,1,0.09090909090909091,0.25694917118487537,0,3,3,0.06666666666666667,0.0,1,0,0,0,0,SA-Q,LFR,n200_s1,LFR__n200_s1__b51__SA-Q__k5
7,11,7,11,0,0.0,0.0,0,3,4,0.14285714285714285,0.05454545454545454,3,3,1,3,0,SA-Q,LFR,n200_s1,LFR__n200_s1__b51__SA-Q__k5
8,8,8,8,1,0.06666666666666667,0.36926937306885504,0,2,2,0.14285714285714285,0.14285714285714285,4,4,1,2,0,SA-Q,LFR,n200_s1,LFR__n200_s1__b51__SA-Q__k5
6,42,6,42,2,0.043478260869565216,0.7621647610257162,0,3,5,0.06666666666666667,0.12311265969802555,1,106,0,0,0,SA-Q,LFR,n200_s1,LFR__n200_s1__b51__SA-Q__k5
35,8,8,35,2,0.04878048780487805,0.8048592087636893,0,4,2,0.06890756302521009,0.14285714285714285,41,4,0,2,0,SA-Q,LFR,n200_s1,LFR__n200_s1__b51__SA-Q__k5
6,8,6,8,1,0.07692307692307693,0.25694917118487537,0,4,4,0.06666666666666667,0.07142857142857142,1,2,0,0,0,SA-Q,LFR,n200_s1,LFR__n200_s1__b51__SA-Q__k5
8,49,8,49,1,0.017857142857142856,0.5581106265512472,0,2,5,0.14285714285714285,0.04846938775510204,4,57,1,0,0,SA-Q,LFR,n200_s1,LFR__n200_s1__b51__SA-Q__k5
13,5,5,13,0,0.0,0.0,0,3,4,0.038461538461538464,0.1,3,1,2,0,0,SA-Q,LFR,n200_s1,LFR__n200_s1__b51__SA-Q__k5
6,5,5,6,0,0.0,0.0,0,3,3,0.13333333333333333,0.1,2,1,0,1,0,SA-Q,LFR,n200_s1,LFR__n200_s1__b51__SA-Q__k5
6,12,6,12,0,0.0,0.0,1,4,4,0.06666666666666667,0.06060606060606061,1,4,0,3,0,SA-Q,LFR,n200_s1,LFR__n200_s1__b51__SA-Q__k5
11,6,6,11,0,0.0,0.0,0,2,3,0.21818181818181817,0.06666666666666667,12,1,1,0,0,SA-Q,LFR,n200_s1,LFR__n200_s1__b51__SA-Q__k5
11,11,11,11,0,0.0,0.0,0,4,4,0.01818181818181818,0.09090909090909091,1,5,1,2,0,SA-Q,LFR,n200_s1,LFR__n200_s1__b51__SA-Q__k5
14,6,6,14,0,0.0,0.0,0,4,3,0.14285714285714285,0.06666666666666667,13,1,3,0,0,SA-Q,LFR,n200_s1,LFR__n200_s1__b51__SA-Q__k5
6,6,6,6,0,0.0,0.0,1,3,3,0.26666666666666666,0.0,4,0,0,0,0,SA-Q,LFR,n200_s1,LFR__n200_s1__b51__SA-Q__k5
8,11,8,11,0,0.0,0.0,0,3,4,0.0,0.03636363636363636,0,2,0,0,0,SA-Q,LFR,n200_s1,LFR__n200_s1__b51__SA-Q__k5
7,6,6,7,0,0.0,0.0,0,4,3,0.14285714285714285,0.06666666666666667,3,1,0,0,0,SA-Q,LFR,n200_s1,LFR__n200_s1__b51__SA-Q__k5
7,5,5,7,0,0.0,0.0,0,3,2,0.19047619047619047,0.2,4,2,0,0,0,SA-Q,LFR,n200_s1,LFR__n200_s1__b51__SA-Q__k5
23,15,15,23,3,0.08571428571428572,1.4290911712359904,1,5,3,0.043478260869565216,0.047619047619047616,11,5,0,3,0,SA-Q,LFR,n200_s1,LFR__n200_s1__b51__SA-Q__k5
11,8,8,11,1,0.05555555555555555,0.36067376022224085,1,4,3,0.09090909090909091,0.03571428571428571,5,1,2,1,0,SA-Q,LFR,n200_s1,LFR__n200_s1__b51__SA-Q__k5
17,5,5,17,1,0.047619047619047616,0.2769378934088574,0,3,4,0.22058823529411764,0.1,30,1,0,0,0,SA-Q,LFR,n200_s1,LFR__n200_s1__b51__SA-Q__k5
5,12,5,12,0,0.0,0.0,0,3,4,0.1,0.09090909090909091,1,6,1,1,0,SA-Q,LFR,n200_s1,LFR__n200_s1__b51__SA-Q__k5
15,8,8,15,1,0.045454545454545456,0.4170323914242463,0,2,4,0.09523809523809523,0.17857142857142858,10,5,3,4,1,SA-CPM,LFR,n200_s1,LFR__n200_s1__b51__SA-CPM__k5
8,11,8,11,0,0.0,0.0,0,4,5,0.0,0.09090909090909091,0,5,0,2,1,SA-CPM,LFR,n200_s1,LFR__n200_s1__b51__SA-CPM__k5
18,23,18,23,2,0.05128205128205128,0.9947966893327386,0,5,8,0.05228758169934641,0.043478260869565216,8,11,0,0,1,SA-CPM,LFR,n200_s1,LFR__n200_s1__b51__SA-CPM__k5
10,10,10,10,0,0.0,0.0,0,4,4,0.022222222222222223,0.2222222222222222,1,10,1,3,1,SA-CPM,LFR,n200_s1,LFR__n200_s1__b51__SA-CPM__k5
12,15,12,15,0,0.0,0.0,0,5,4,0.045454545454545456,0.01904761904761905,3,2,1,2,1,SA-CPM,LFR,n200_s1,LFR__n200_s1__b51__SA-CPM__k5
16,6,6,16,1,0.047619047619047616,0.48089834696298783,0,6,4,0.041666666666666664,0.0,5,0,0,0,1,SA-CPM,LFR,n200_s1,LFR__n200_s1__b51__SA-CPM__k5
8,7,7,8,0,0.0,0.0,0,4,4,0.07142857142857142,0.0,2,0,0,0,1,SA-CPM,LFR,n200_s1,LFR__n200_s1__b51__SA-CPM__k5
7,14,7,14,0,0.0,0.0,0,5,5,0.0,0.07692307692307693,0,7,0,1,1,SA-CPM,LFR,n200_s1,LFR__n200_s1__b51__SA-CPM__k5
9,15,9,15,1,0.043478260869565216,0.36067376022224085,0,2,7,0.25,0.08571428571428572,9,9,1,4,1,SA-CPM,LFR,n200_s1,LFR__n200_s1__b51__SA-CPM__k5
6,9,6,9,0,0.0,0.0,0,4,3,0.0,0.1111111111111111,0,4,0,0,1,SA-CPM,LFR,n200_s1,LFR__n200_s1__b51__SA-CPM__k5
9,15,9,15,3,0.14285714285714285,1.203312168072225,1,3,7,0.08333333333333333,0.08571428571428572,3,9,1,4,1,SA-CPM,LFR,n200_s1,LFR__n200_s1__b51__SA-CPM__k5
6,7,6,7,1,0.08333333333333333,0.5138983423697507,0,4,4,0.06666666666666667,0.14285714285714285,1,3,0,0,1,SA-CPM,LFR,n200_s1,LFR__n200_s1__b51__SA-CPM__k5
13,10,10,13,2,0.09523809523809523,0.6376116536310983,1,4,4,0.20512820512820512,0.17777777777777778,16,8,0,0,1,SA-CPM,LFR,n200_s1,LFR__n200_s1__b51__SA-CPM__k5
13,5,5,13,1,0.058823529411764705,0.3789231816899512,0,6,2,0.038461538461538464,0.0,3,0,2,0,1,SA-CPM,LFR,n200_s1,LFR__n200_s1__b51__SA-CPM__k5
11,13,11,13,2,0.09090909090909091,0.7481925547588062,0,6,5,0.03636363636363636,0.07692307692307693,2,6,0,5,1,SA-CPM,LFR,n200_s1,LFR__n200_s1__b51__SA-CPM__k5
12,8,8,12,1,0.05263157894736842,0.36926937306885504,0,3,5,0.24242424242424243,0.14285714285714285,16,4,1,4,1,SA-CPM,LFR,n200_s1,LFR__n200_s1__b51__SA-CPM__k5
11,8,8,11,1,0.05555555555555555,0.2769378934088574,0,2,5,0.21818181818181817,0.10714285714285714,12,3,1,0,1,SA-CPM,LFR,n200_s1,LFR__n200_s1__b51__SA-CPM__k5
6,7,6,7,0,0.0,0.0,0,3,3,0.13333333333333333,0.14285714285714285,2,3,0,3,1,SA-CPM,LFR,n200_s1,LFR__n200_s1__b51__SA-CPM__k5
8,7,7,8,1,0.07142857142857142,0.28126641406272834,1,3,3,0.03571428571428571,0.19047619047619047,1,4,0,0,1,SA-CPM,LFR,n200_s1,LFR__n200_s1__b51__SA-CPM__k5
9,8,8,9,0,0.0,0.0,0,5,5,0.08333333333333333,0.10714285714285714,3,3,0,0,1,SA-CPM,LFR,n200_s1,LFR__n200_s1__b51__SA-CPM__k5
18,21,18,21,1,0.02631578947368421,0.3789231816899512,0,5,6,0.05228758169934641,0.16666666666666666,8,35,0,0,1,SA-CPM,LFR,n200_s1,LFR__n200_s1__b51__SA-CPM__k5
5,8,5,8,0,0.0,0.0,0,3,6,0.0,0.0,0,0,0,0,1,SA-CPM,LFR,n200_s1,LFR__n200_s1__b51__SA-CPM__k5
15,9,9,15,1,0.043478260869565216,0.3459762562611936,0,3,5,0.13333333333333333,0.08333333333333333,14,3,4,0,1,SA-CPM,LFR,n200_s1,LFR__n200_s1__b51__SA-CPM__k5
7,42,7,42,1,0.020833333333333332,0.5581106265512472,0,5,7,0.0,0.12311265969802555,0,106,0,0,1,SA-CPM,LFR,n200_s1,LFR__n200_s1__b51__SA-CPM__k5
5,15,5,15,1,0.05263157894736842,0.45511961331341866,0,2,2,0.0,0.23809523809523808,0,25,0,4,1,SA-CPM,LFR,n200_s1,LFR__n200_s1__b51__SA-CPM__k5
7,7,7,7,0,0.0,0.0,0,4,3,0.0,0.19047619047619047,0,4,0,1,1,SA-CPM,LFR,n200_s1,LFR__n200_s1__b51__SA-CPM__k5
8,12,8,12,0,0.0,0.0,0,4,6,0.10714285714285714,0.06060606060606061,3,4,1,3,1,SA-CPM,LFR,n200_s1,LFR__n200_s1__b51__SA-CPM__k5
7,6,6,7,0,0.0,0.0,0,3,4,0.14285714285714285,0.0,3,0,1,0,1,SA-CPM,LFR,n200_s1,LFR__n200_s1__b51__SA-CPM__k5
12,7,7,12,1,0.05555555555555555,0.318928988903801,0,5,4,0.045454545454545456,0.19047619047619047,3,4,1,1,1,SA-CPM,LFR,n200_s1,LFR__n200_s1__b51__SA-CPM__k5
12,15,12,15,0,0.0,0.0,0,5,2,0.09090909090909091,0.09523809523809523,6,10,6,3,1,SA-CPM,LFR,n200_s1,LFR__n200_s1__b51__SA-CPM__k5
7,10,7,10,0,0.0,0.0,0,4,4,0.0,0.022222222222222223,0,1,0,1,1,SA-CPM,LFR,n200_s1,LFR__n200_s1__b51__SA-CPM__k5
12,9,9,12,1,0.05,0.36926937306885504,0,3,6,0.06060606060606061,0.027777777777777776,4,1,4,1,1,SA-CPM,LFR,n200_s1,LFR__n200_s1__b51__SA-CPM__k5
11,11,11,11,0,0.0,0.0,0,5,5,0.09090909090909091,0.05454545454545454,5,3,2,3,1,SA-CPM,LFR,n200_s1,LFR__n200_s1__b51__SA-CPM__k5
6,7,6,7,2,0.18181818181818182,0.7777061516464872,0,5,4,0.0,0.047619047619047616,0,1,0,0,1,SA-CPM,LFR,n200_s1,LFR__n200_s1__b51__SA-CPM__k5
15,8,8,15,0,0.0,0.0,0,4,3,0.1619047619047619,0.14285714285714285,17,4,3,2,1,SA-CPM,LFR,n200_s1,LFR__n200_s1__b51__SA-CPM__k5
9,8,8,9,0,0.0,0.0,0,2,4,0.25,0.17857142857142858,9,5,1,4,1,SA-CPM,LFR,n200_s1,LFR__n200_s1__b51__SA-CPM__k5
5,10,5,10,1,0.07142857142857142,0.43429448190325176,0,3,4,0.0,0.022222222222222223,0,1,0,1,1,SA-CPM,LFR,n200_s1,LFR__n200_s1__b51__SA-CPM__k5
6,8,6,8,2,0.16666666666666666,0.5244955576039294,0,2,6,0.13333333333333333,0.17857142857142858,2,5,0,0,1,SA-CPM,LFR,n200_s1,LFR__n200_s1__b51__SA-CPM__k5
9,12,9,12,0,0.0,0.0,0,6,5,0.027777777777777776,0.09090909090909091,1,6,1,1,1,SA-CPM,LFR,n200_s1,LFR__n200_s1__b51__SA-CPM__k5
10,15,10,15,0,0.0,0.0,0,4,5,0.08888888888888889,0.19047619047619047,4,20,2,6,1,SA-CPM,LFR,n200_s1,LFR__n200_s1__b51__SA-CPM__k5
12,11,11,12,0,0.0,0.0,0,5,2,0.09090909090909091,0.21818181818181817,6,12,6,1,1,SA-CPM,LFR,n200_s1,LFR__n200_s1__b51__SA-CPM__k5
14,8,8,14,1,0.047619047619047616,0.45511961331341866,1,4,4,0.0,0.17857142857142858,0,5,0,4,1,SA-CPM,LFR,n200_s1,LFR__n200_s1__b51__SA-CPM__k5
10,14,10,14,1,0.043478260869565216,0.45511961331341866,1,4,5,0.022222222222222223,0.07692307692307693,1,7,1,1,1,SA-CPM,LFR,n200_s1,LFR__n200_s1__b51__SA-CPM__k5
5,15,5,15,0,0.0,0.0,0,3,2,0.2,0.09523809523809523,2,10,0,3,1,SA-CPM,LFR,n200_s1,LFR__n200_s1__b51__SA-CPM__k5
8,7,7,8,0,0.0,0.0,0,2,5,0.25,0.0,7,0,1,0,1,SA-CPM,LFR,n200_s1,LFR__n200_s1__b51__SA-CPM__k5
12,6,6,12,2,0.125,0.712068784498294,0,3,3,0.09090909090909091,0.06666666666666667,6,1,1,0,1,SA-CPM,LFR,n200_s1,LFR__n200_s1__b51__SA-CPM__k5
11,6,6,11,0,0.0,0.0,0,4,3,0.01818181818181818,0.13333333333333333,1,2,1,2,1,SA-CPM,LFR,n200_s1,LFR__n200_s1__b51__SA-CPM__k5
